species,cpi,house sales,gas price,gold price,usd to pound,usd to euro,unemployment,s and p 500,volatility,cpi pdiff,house sales pdiff,gas price pdiff,gold price pdiff,usd to pound pdiff,usd to euro pdiff,unemployment pdiff,s and p 500 pdiff,volatility pdiff
neutral,179.3090909,937.9090909,1.3794,302.65,0.696806,1.14025,5.895454545,1136.76,19.16,0.000901334,0.004697557,0.023445615,0.018680579,-0.006565338,0.000587936,0.005723359,-0.001519557,0.056811914
negative,179.3545455,947.4545455,1.4112,299.3,0.698784,1.14099,5.872727273,1117.8,19.47,0.000253498,0.010177377,0.023053502,-0.011068891,0.002838667,0.00064898,-0.00385505,-0.016678982,0.016179541
neutral,179.4,957,1.404,299.35,0.694027,1.13707,5.85,1128.37,18.11,0.000253434,0.010074842,-0.005102041,0.000167056,-0.00680754,-0.003435613,-0.003869969,0.009456074,-0.069851053
negative,179.4454545,966.5454545,1.4018,303.25,0.689944,1.12383,5.827272727,1100.96,20.28,0.00025337,0.009974352,-0.001566952,0.013028228,-0.005883056,-0.011643962,-0.003885004,-0.024291677,0.119823302
negative,179.4909091,976.0909091,1.3934,309.35,0.685405,1.10751,5.804545455,1076.92,21.91,0.000253306,0.009875847,-0.005992296,0.020115416,-0.006578795,-0.014521769,-0.003900156,-0.021835489,0.080374753
negative,179.5465116,975.9534884,1.3936,312.65,0.680864,1.08951,5.8,1049.49,21.94,0.000309779,-0.000140787,0.000143534,0.010667529,-0.00662528,-0.016252675,-0.000783085,-0.025470787,0.001369238
positive,179.6046512,973.3953488,1.3898,309.95,0.685344,1.0963,5.8,1097.28,19.35,0.000323813,-0.00262117,-0.002726751,-0.008635855,0.006579875,0.006232159,0,0.045536403,-0.118049225
negative,179.6627907,970.8372093,1.395,315.1,0.685761,1.08622,5.8,1079.88,20.05,0.000323708,-0.002628058,0.003741546,0.016615583,0.000608454,-0.009194564,0,-0.015857393,0.036175711
neutral,179.7209302,968.2790698,1.388,321.4,0.686222,1.08635,5.8,1074.55,20.31,0.000323604,-0.002634983,-0.005017921,0.019993653,0.000672246,0.000119681,0,-0.004935734,0.012967581
negative,179.7790698,965.7209302,1.3886,325.4166667,0.684394,1.06605,5.8,1040.69,23.89,0.000323499,-0.002641944,0.000432277,0.012497407,-0.002663861,-0.018686427,0,-0.031510865,0.176267848
negative,179.8372093,963.1627907,1.3756,319,0.684823,1.05933,5.8,1013.6,24.45,0.000323394,-0.002648943,-0.009361947,-0.01971831,0.000626832,-0.006303644,0,-0.026030806,0.02344077
positive,179.8953488,960.6046512,1.3792,318.05,0.676132,1.05858,5.8,1037.14,24.24,0.00032329,-0.002655978,0.00261704,-0.002978056,-0.01269087,-0.000707995,0,0.023224152,-0.008588957
negative,179.9534884,958.0465116,1.3856,323.1,0.66686,1.03098,5.8,976.14,27.84,0.000323185,-0.002663051,0.004640371,0.015878007,-0.013713299,-0.026072663,0,-0.058815589,0.148514851
negative,180.0217391,958.5217391,1.39,312.9,0.652272,1.00974,5.795652174,948.09,28.96,0.000379269,0.000496038,0.00317552,-0.031569174,-0.021875656,-0.020601758,-0.000749625,-0.028735632,0.040229885
neutral,180.1304348,971.1304348,1.3844,312.45,0.65086,1.01528,5.773913043,952.83,30.22,0.000603792,0.013154314,-0.004028777,-0.001438159,-0.002164741,0.005486561,-0.003750938,0.004999525,0.043508287
negative,180.2391304,983.7391304,1.3972,320.35,0.639803,1.00088,5.752173913,900.94,36.65,0.000603427,0.012983524,0.009245883,0.025284045,-0.016988292,-0.014183279,-0.00376506,-0.054458823,0.212772998
negative,180.3478261,996.3478261,1.4094,320.3,0.6335,0.990034,5.730434783,797.7,44.92,0.000603064,0.012817113,0.008731749,-0.000156079,-0.00985147,-0.010836464,-0.003779289,-0.114591427,0.225648022
positive,180.4565217,1008.956522,1.4046,304.45,0.639536,1.01722,5.708695652,902.78,31.92,0.0006027,0.012654914,-0.003405705,-0.049484858,0.009528019,0.027459663,-0.003793627,0.13172872,-0.289403384
negative,180.5488372,1013.44186,1.3946,306.75,0.639161,1.0177,5.7,859.57,42.03,0.000511566,0.004445522,-0.007119465,0.007554607,-0.000586363,0.000471874,-0.001523229,-0.047863267,0.316729323
positive,180.6302326,1012.511628,1.3928,314.7,0.65423,1.02517,5.7,884.21,35.82,0.000450822,-0.000917894,-0.001290693,0.02591687,0.023576219,0.007340081,0,0.028665496,-0.147751606
positive,180.7116279,1011.581395,1.3942,307.6,0.652949,1.02134,5.7,937.43,29.59,0.000450619,-0.000918738,0.001005169,-0.022561169,-0.001958027,-0.003735966,0,0.060189322,-0.173925181
neutral,180.7930233,1010.651163,1.4012,309.4,0.657279,1.02845,5.7,934.82,30.11,0.000450416,-0.000919583,0.0050208,0.005851756,0.006631452,0.006961443,0,-0.002784208,0.017573505
negative,180.8744186,1009.72093,1.3942,313.5,0.645682,1.01711,5.7,878.02,39.97,0.000450213,-0.000920429,-0.004995718,0.013251454,-0.017643953,-0.011026302,0,-0.06076036,0.327465958
positive,180.955814,1008.790698,1.3962,318.35,0.642149,1.02007,5.7,909.58,35.08,0.00045001,-0.000921277,0.001434514,0.015470494,-0.005471734,0.002910206,0,0.035944512,-0.122341756
negative,181.0372093,1007.860465,1.3998,315.3,0.647357,1.03114,5.7,873.52,38.01,0.000449808,-0.000922126,0.002578427,-0.00958065,0.008110267,0.010852196,0,-0.039644671,0.083523375
negative,181.1186047,1006.930233,1.3986,323.3,0.6443,1.02126,5.7,819.29,40.52,0.000449606,-0.000922978,-0.000857265,0.025372661,-0.004722278,-0.009581628,0,-0.06208215,0.066035254
positive,181.2,1006,1.4182,322.6,0.638636,1.01512,5.7,847.91,34.12,0.000449404,-0.00092383,0.014014014,-0.002165172,-0.008790936,-0.006012181,0,0.034932686,-0.157946693
negative,181.2652174,1009.913043,1.4392,320.7,0.638558,1.01845,5.743478261,798.55,41.02,0.000359919,0.003889705,0.014807502,-0.005889647,-0.000122135,0.0032804,0.007627765,-0.058213726,0.202227433
positive,181.3304348,1013.826087,1.4436,317.5,0.641457,1.01305,5.786956522,881.27,34.02,0.00035979,0.003874634,0.003057254,-0.009978173,0.004539916,-0.005302175,0.007570023,0.103587753,-0.170648464
positive,181.3956522,1017.73913,1.4552,311.65,0.647826,1.02757,5.830434783,890.16,34.09,0.00035966,0.003859679,0.008035467,-0.018425197,0.009928959,0.014332955,0.007513148,0.010087714,0.002057613
neutral,181.4608696,1021.652174,1.4448,316.35,0.642824,1.01883,5.873913043,882.15,32.27,0.000359531,0.003844839,-0.007146784,0.01508102,-0.007721209,-0.008505503,0.007457122,-0.008998382,-0.05338809
positive,181.5511628,1022.837209,1.4462,318.9,0.641048,1.00258,5.895348837,915.39,31.23,0.000497591,0.001159921,0.000968992,0.008060692,-0.002762809,-0.015949668,0.003649321,0.037680667,-0.032228076
negative,181.6790698,1019.930233,1.433,321.9,0.629666,0.988726,5.88372093,882.95,30.58,0.000704523,-0.002842072,-0.009127368,0.009407338,-0.017755301,-0.013818349,-0.001972387,-0.035438447,-0.020813321
positive,181.8069767,1017.023256,1.4032,319.8,0.632601,0.991608,5.872093023,896.74,27.41,0.000704027,-0.002850172,-0.020795534,-0.006523765,0.004661201,0.002914862,-0.001976285,0.015618098,-0.103662525
positive,181.9348837,1014.116279,1.3768,318,0.637002,1.00674,5.860465116,913.31,25.97,0.000703532,-0.002858319,-0.018814139,-0.005628518,0.006956992,0.015260062,-0.001980198,0.018478043,-0.052535571
neutral,182.0627907,1011.209302,1.3632,317.7,0.641991,1.00414,5.848837209,920.75,28.33,0.000703037,-0.002866512,-0.009877978,-0.000943396,0.007832001,-0.002582593,-0.001984127,0.008146194,0.090874085
negative,182.1906977,1008.302326,1.3606,325.95,0.63318,0.989321,5.837209302,904.45,28.76,0.000702543,-0.002874753,-0.001907277,0.025967894,-0.013724491,-0.014757902,-0.001988072,-0.01770296,0.015178256
neutral,182.3186047,1005.395349,1.3706,341,0.628487,0.977401,5.825581395,902.99,26.66,0.00070205,-0.002883041,0.007349699,0.046172726,-0.007411794,-0.012048668,-0.001992032,-0.001614241,-0.073018081
negative,182.4465116,1002.488372,1.409,345,0.626186,0.97393,5.813953488,892.47,26.49,0.000701557,-0.002891377,0.028016927,0.011730205,-0.003661174,-0.003551255,-0.001996008,-0.011650184,-0.006376594
negative,182.5744186,999.5813953,1.4416,342.75,0.623517,0.955846,5.802325581,879.82,28.62,0.000701066,-0.002899761,0.023136977,-0.006521739,-0.004262312,-0.01856807,-0.002,-0.014174146,0.080407701
positive,182.6375,999.8125,1.446,348.7,0.621623,0.956738,5.8125,922.93,25.13,0.000345511,0.000231201,0.003052164,0.017359592,-0.003037608,0.000933205,0.001753507,0.048998659,-0.121942697
neutral,182.684375,1000.828125,1.455,353.75,0.623977,0.947173,5.828125,931.66,24.57,0.000256656,0.001015815,0.006224066,0.014482363,0.003786861,-0.009997512,0.002688172,0.009459006,-0.022284123
negative,182.73125,1001.84375,1.4618,355.55,0.621065,0.937167,5.84375,887.62,27.59,0.00025659,0.001014785,0.00467354,0.005088339,-0.004666839,-0.010564068,0.002680965,-0.047270463,0.122914123
negative,182.778125,1002.859375,1.4838,366.45,0.611235,0.921496,5.859375,858.54,31.93,0.000256524,0.001013756,0.015049938,0.030656729,-0.015827651,-0.016721673,0.002673797,-0.032761767,0.157303371
negative,182.825,1003.875,1.543,374.85,0.607856,0.927309,5.875,848.2,32.76,0.000256458,0.001012729,0.03989756,0.022922636,-0.005528152,0.006308221,0.002666667,-0.012043702,0.025994363
negative,182.871875,1004.890625,1.6176,362.15,0.614046,0.928955,5.890625,829.2,33.68,0.000256393,0.001011705,0.048347375,-0.033880219,0.010183333,0.001775029,0.002659574,-0.022400377,0.028083028
positive,182.91875,1005.90625,1.6596,347,0.623511,0.930768,5.90625,851.17,31.11,0.000256327,0.001010682,0.025964392,-0.041833494,0.015414155,0.001951655,0.00265252,0.026495417,-0.076306413
negative,182.965625,1006.921875,1.6636,359.1,0.631632,0.928159,5.921875,838.57,31.74,0.000256261,0.001009662,0.002410219,0.034870317,0.01302463,-0.002803062,0.002645503,-0.014803153,0.020250723
negative,183.0125,1007.9375,1.6912,352.4,0.634276,0.921481,5.9375,821.99,31.83,0.000256196,0.001008643,0.016590527,-0.018657755,0.004185982,-0.007194888,0.002638522,-0.019771754,0.002835539
negative,183.059375,1008.953125,1.7152,353.15,0.624116,0.905979,5.953125,800.73,33.61,0.00025613,0.001007627,0.014191107,0.002128263,-0.016018263,-0.016822919,0.002631579,-0.025864062,0.055922086
positive,183.10625,1009.96875,1.7204,334.9,0.634388,0.935784,5.96875,866.45,30.43,0.000256064,0.001006613,0.003031716,-0.051677757,0.016458479,0.032898114,0.002624672,0.082075106,-0.094614698
neutral,183.153125,1010.984375,1.6818,333,0.636909,0.942032,5.984375,874.74,28.75,0.000255999,0.0010056,-0.022436643,-0.005673335,0.003973909,0.006676754,0.002617801,0.009567777,-0.055208676
negative,183.2,1012,1.6452,335.65,0.632867,0.919378,6,858.48,28.36,0.000255933,0.00100459,-0.021762397,0.007957958,-0.006346276,-0.024048015,0.002610966,-0.018588381,-0.013565217
positive,183.1318182,1027,1.623,322.3,0.642201,0.933566,6.022727273,878.29,27.13,-0.000372171,0.014822134,-0.0134938,-0.039773574,0.014748754,0.015432173,0.003787879,0.023075669,-0.043370945
positive,183.0636364,1042,1.5908,323.7,0.635655,0.930673,6.045454545,890.81,22.56,-0.00037231,0.014605648,-0.019839803,0.004343779,-0.01019307,-0.00309887,0.003773585,0.014254973,-0.168448212
positive,182.9954545,1057,1.5706,333.25,0.638732,0.919287,6.068181818,911.37,20.7,-0.000372449,0.014395393,-0.012698014,0.029502626,0.004840676,-0.012234157,0.003759398,0.023080118,-0.082446809
neutral,182.9272727,1072,1.5482,332.6,0.628944,0.908672,6.090909091,917.84,20.76,-0.000372587,0.014191107,-0.014262065,-0.001950488,-0.015324111,-0.011546992,0.003745318,0.007099202,0.002898551
positive,182.955814,1084.27907,1.5086,342.65,0.622821,0.887272,6.106976744,934.39,20.8,0.000156025,0.011454356,-0.025578091,0.030216476,-0.009735366,-0.023550852,0.002637973,0.018031465,0.001926782
neutral,183.0488372,1094.744186,1.4924,350.75,0.621376,0.865997,6.118604651,942.3,19.91,0.000508447,0.009651682,-0.010738433,0.023639282,-0.002320089,-0.023977991,0.001904037,0.008465416,-0.042788462
negative,183.1418605,1105.209302,1.4958,368,0.613983,0.860121,6.130232558,919.73,21.29,0.000508188,0.009559417,0.00227821,0.049180328,-0.011897788,-0.006785243,0.001900418,-0.023952032,0.069311904
positive,183.2348837,1115.674419,1.4842,372.35,0.611478,0.843519,6.141860465,951.48,19.99,0.00050793,0.0094689,-0.007755047,0.011820652,-0.004079918,-0.019301935,0.001896813,0.034521001,-0.061061531
positive,183.327907,1126.139535,1.4764,365.3,0.610653,0.851964,6.153488372,971.56,20.84,0.000507672,0.009380081,-0.005255356,-0.018933799,-0.00134919,0.01001163,0.001893222,0.021103964,0.042521261
positive,183.4209302,1136.604651,1.4956,359.4,0.606172,0.854147,6.165116279,984.84,20.64,0.000507415,0.009292913,0.013004606,-0.016151109,-0.007338046,0.002562315,0.001889645,0.013668739,-0.009596929
positive,183.5139535,1147.069767,1.5136,359.75,0.596889,0.844283,6.176744186,1011.66,20.01,0.000507157,0.00920735,0.012035304,0.000973845,-0.015314135,-0.011548363,0.001886081,0.02723285,-0.030523256
negative,183.6069767,1157.534884,1.4942,354.35,0.600179,0.864831,6.188372093,983.45,20.75,0.0005069,0.009123348,-0.012817125,-0.015010424,0.005511913,0.024337811,0.00188253,-0.027884863,0.036981509
neutral,183.7,1168,1.4874,348.55,0.605014,0.871128,6.2,982.32,19.46,0.000506643,0.009040865,-0.00455093,-0.016367998,0.00805593,0.007281191,0.001878993,-0.001149016,-0.062168675
positive,183.873913,1176.26087,1.4954,345.3,0.604013,0.878881,6.17826087,1007.84,19.48,0.000946723,0.007072662,0.005378513,-0.009324344,-0.001654507,0.008899955,-0.003506311,0.025979314,0.001027749
neutral,184.0478261,1184.521739,1.5216,348.5,0.617127,0.886434,6.156521739,1000.42,19.55,0.000945828,0.007022991,0.017520396,0.009267304,0.021711453,0.008593882,-0.003518649,-0.00736228,0.003593429
negative,184.2217391,1192.782609,1.5224,352.25,0.626157,0.883517,6.134782609,988.11,19.17,0.000944934,0.006974013,0.000525762,0.010760402,0.01463232,-0.003290713,-0.003531073,-0.012304832,-0.01943734
neutral,184.3956522,1201.043478,1.52,364,0.616112,0.869949,6.113043478,989.28,18.67,0.000944042,0.006925713,-0.001576458,0.033356991,-0.016042302,-0.015356807,-0.003543586,0.001184079,-0.02608242
negative,184.5571429,1198.857143,1.543,349.5,0.620578,0.882591,6.1,965.46,22.68,0.000875784,-0.001820363,0.015131579,-0.039835165,0.007248682,0.014531886,-0.002133713,-0.024078117,0.214783074
positive,184.7,1181,1.5822,360,0.622466,0.882016,6.1,990.35,17.94,0.000774054,-0.014895138,0.025405055,0.030042918,0.003042325,-0.000651491,0,0.025780457,-0.208994709
positive,184.8428571,1163.142857,1.651,358.3,0.627769,0.894245,6.1,1002.35,17.86,0.000773455,-0.015120358,0.043483757,-0.004722222,0.008519341,0.013864828,0,0.012116928,-0.004459309
neutral,184.9857143,1145.285714,1.7468,360.75,0.636099,0.919805,6.1,996.73,19.49,0.000772857,-0.015352493,0.058025439,0.006837845,0.013269212,0.028582771,0,-0.005606824,0.091265398
positive,185.0909091,1131.590909,1.7402,375.5,0.635534,0.911198,6.095454545,1021.99,19.02,0.000568664,-0.011957545,-0.003778338,0.040887041,-0.000888227,-0.009357418,-0.000745156,0.025342871,-0.024114931
neutral,185.0454545,1134.545455,1.713,378.2,0.630791,0.90219,6.072727273,1023.17,18.85,-0.00024558,0.002610966,-0.015630387,0.007190413,-0.007463015,-0.009885886,-0.003728561,0.00115461,-0.00893796
neutral,185,1137.5,1.6862,374.9,0.624299,0.885815,6.05,1029.32,18.03,-0.00024564,0.002604167,-0.015645067,-0.008725542,-0.01029184,-0.018150279,-0.003742515,0.006010731,-0.043501326
neutral,184.9545455,1140.454545,1.6326,386.45,0.607841,0.872988,6.027272727,1029.03,19.47,-0.0002457,0.002597403,-0.031787451,0.030808216,-0.026362368,-0.01448045,-0.003756574,-0.000281739,0.079866889
negative,184.9090909,1143.409091,1.5874,384.5,0.60099,0.865958,6.004545455,995.97,22.72,-0.000245761,0.002590674,-0.0276859,-0.005045931,-0.01127104,-0.008052803,-0.003770739,-0.032127343,0.166923472
positive,184.955814,1142.604651,1.572,376.2,0.598785,0.857567,5.972093023,1039.25,19.41,0.000252681,-0.000703545,-0.009701399,-0.021586476,-0.003668946,-0.009689846,-0.005404644,0.043455124,-0.14568662
neutral,185.0255814,1140.860465,1.5686,373.65,0.600325,0.852246,5.937209302,1049.48,17.37,0.000377211,-0.0015265,-0.00216285,-0.006778309,0.002571875,-0.006204763,-0.005841121,0.009843637,-0.105100464
neutral,185.0953488,1139.116279,1.5652,374.8,0.596997,0.858096,5.902325581,1046.03,16.55,0.000377069,-0.001528834,-0.002167538,0.003077747,-0.005543664,0.006864215,-0.005875441,-0.003287342,-0.04720783
neutral,185.1651163,1137.372093,1.5406,386.55,0.590178,0.850775,5.86744186,1046.79,16.82,0.000376927,-0.001531175,-0.015716841,0.031350053,-0.011422168,-0.008531679,-0.005910165,0.000726557,0.016314199
neutral,185.2348837,1135.627907,1.5288,378.3,0.594134,0.869415,5.83255814,1053.25,16.55,0.000376785,-0.001533523,-0.007659353,-0.021342646,0.006703062,0.021909436,-0.005945303,0.006171247,-0.016052319
neutral,185.3046512,1133.883721,1.5026,386.4,0.597864,0.869595,5.797674419,1046.57,17.54,0.000376643,-0.001535878,-0.017137624,0.021411578,0.006278045,0.000207036,-0.005980861,-0.006342274,0.059818731
negative,185.3744186,1132.139535,1.5,392.4,0.591472,0.84989,5.762790698,1034.15,19.11,0.000376501,-0.001538241,-0.001730334,0.01552795,-0.010691395,-0.022659974,-0.006016847,-0.011867338,0.089509692
positive,185.444186,1130.395349,1.5076,391.5,0.588755,0.846713,5.727906977,1053.89,16.71,0.00037636,-0.00154061,0.005066667,-0.002293578,-0.004593624,-0.003738131,-0.006053269,0.01908814,-0.125588697
positive,185.5347826,1130.565217,1.4872,401.05,0.581521,0.834951,5.7,1066.62,16.27,0.000488538,0.000150274,-0.013531441,0.024393359,-0.012286944,-0.013891366,-0.004872107,0.012079059,-0.026331538
neutral,185.7086957,1138.391304,1.4738,408.25,0.577353,0.81923,5.7,1060.18,17.63,0.000937361,0.006922278,-0.009010221,0.017952874,-0.007167411,-0.01882865,0,-0.006037764,0.083589428
positive,185.8826087,1146.217391,1.469,409.7,0.572774,0.813377,5.7,1075.13,15.93,0.000936483,0.00687469,-0.003256887,0.003551745,-0.007931023,-0.007144514,0,0.014101379,-0.096426546
positive,186.0565217,1154.043478,1.4836,409.6,0.566391,0.806142,5.7,1096.02,16.49,0.000935607,0.006827751,0.009938734,-0.000244081,-0.011144011,-0.008895014,0,0.019430208,0.035153798
positive,186.2304348,1161.869565,1.4844,415.6,0.564118,0.802013,5.7,1109.64,17.68,0.000934732,0.006781449,0.000539229,0.014648438,-0.004013129,-0.005121926,0,0.012426781,0.072164948
positive,186.3571429,1172.928571,1.52,428,0.555429,0.791913,5.707142857,1123.67,16.73,0.000680383,0.009518285,0.023982754,0.029836381,-0.015402806,-0.012593312,0.001253133,0.01264374,-0.053733032
neutral,186.452381,1186.142857,1.567,424.5,0.541201,0.782482,5.719047619,1121.22,18.04,0.000511051,0.011266062,0.030921053,-0.00817757,-0.025616235,-0.011909136,0.002085941,-0.002180355,0.078302451
positive,186.547619,1199.357143,1.6004,408.3,0.559252,0.813922,5.730952381,1138.77,15.21,0.00051079,0.011140552,0.021314614,-0.038162544,0.033353597,0.040179838,0.002081599,0.015652593,-0.156873614
neutral,186.6428571,1212.571429,1.6208,404,0.550067,0.799008,5.742857143,1144.05,15.35,0.00051053,0.011017807,0.012746813,-0.010531472,-0.016423723,-0.018323623,0.002077275,0.004636582,0.009204471
neutral,186.7380952,1225.785714,1.6204,401.75,0.550011,0.803672,5.754761905,1136.03,17.34,0.000510269,0.010897738,-0.000246792,-0.005569307,-0.000101806,0.005837238,0.002072968,-0.007010183,0.129641694
neutral,186.8333333,1239,1.64,408.35,0.53981,0.789654,5.766666667,1145.54,15.94,0.000510009,0.010780258,0.012095779,0.016428127,-0.018546902,-0.017442439,0.00206868,0.008371258,-0.080738178
neutral,186.9285714,1252.214286,1.656,413.7,0.529636,0.783499,5.778571429,1156.99,15.4,0.000509749,0.010665283,0.009756098,0.013101506,-0.018847372,-0.007794553,0.00206441,0.009995286,-0.033877039
negative,187.0238095,1265.428571,1.6938,401.45,0.536548,0.797671,5.79047619,1139.09,15.9,0.000509489,0.010552735,0.022826087,-0.029610829,0.013050472,0.018088089,0.002060157,-0.01547118,0.032467532
neutral,187.1130435,1272.086957,1.7212,398.6,0.535391,0.802421,5.791304348,1149.1,14.86,0.000477126,0.005261763,0.016176644,-0.007099265,-0.002156377,0.005954836,0.000143021,0.008787717,-0.065408805
neutral,187.1782609,1252.521739,1.7352,401.2,0.540998,0.806499,5.747826087,1140.58,16.6,0.000348545,-0.015380409,0.00813386,0.00652283,0.01047272,0.00508212,-0.007507508,-0.007414498,0.117092867
negative,187.2434783,1232.956522,1.7278,399.6,0.55415,0.815814,5.704347826,1110.7,20.34,0.000348424,-0.015620661,-0.004264638,-0.003988036,0.024310626,0.011549921,-0.007564297,-0.026197198,0.225301205
negative,187.3086957,1213.391304,1.746,415.2,0.543066,0.81212,5.660869565,1093.95,20.67,0.000348303,-0.015868538,0.010533627,0.039039039,-0.020001805,-0.004527993,-0.007621951,-0.01508058,0.016224189
positive,187.373913,1193.826087,1.7624,419.15,0.550718,0.824074,5.617391304,1127,16.28,0.000348181,-0.016124409,0.009392898,0.009513487,0.014090368,0.0147195,-0.007680492,0.030211618,-0.212385099
positive,187.5046512,1185.581395,1.7812,416.95,0.548178,0.829638,5.6,1148.16,15.32,0.000697739,-0.006906108,0.010667272,-0.005248718,-0.004612161,0.006751821,-0.003095975,0.01877551,-0.058968059
negative,187.6790698,1184.883721,1.7914,417.45,0.544385,0.827946,5.6,1129.44,17.26,0.000930209,-0.000588466,0.005726477,0.001199185,-0.006919285,-0.002039444,0,-0.016304348,0.126631854
neutral,187.8534884,1184.186047,1.8128,398.8,0.554202,0.832171,5.6,1118.15,16.67,0.000929345,-0.000588813,0.011945964,-0.044676009,0.018033193,0.00510299,0,-0.009996104,-0.034183082
positive,188.027907,1183.488372,1.8184,397.15,0.561502,0.843715,5.6,1138.11,15.07,0.000928482,-0.000589159,0.003089144,-0.004137412,0.013172092,0.013872149,0,0.017850914,-0.095980804
negative,188.2023256,1182.790698,1.8634,389.75,0.56395,0.835739,5.6,1119.55,16.55,0.000927621,-0.000589507,0.02474703,-0.018632758,0.004359735,-0.009453429,0,-0.016307738,0.098208361
negative,188.3767442,1182.093023,1.9562,378,0.561853,0.84318,5.6,1095.45,18.57,0.000926761,-0.000589855,0.049801438,-0.03014753,-0.003718415,0.008903497,0,-0.021526506,0.122054381
neutral,188.5511628,1181.395349,2.0264,379,0.566678,0.835268,5.6,1091.49,19.33,0.000925903,-0.000590203,0.035885901,0.002645503,0.008587655,-0.009383524,0,-0.003614953,0.040926225
positive,188.7255814,1180.697674,2.0614,387.6,0.558791,0.833442,5.6,1113.05,15.96,0.000925047,-0.000590551,0.017272009,0.022691293,-0.013917957,-0.002186125,0,0.019752815,-0.174340404
neutral,188.9,1180,2.0476,395.85,0.545782,0.819267,5.6,1121.2,16.3,0.000924192,-0.0005909,-0.006694479,0.02128483,-0.023280618,-0.017007782,0,0.007322223,0.021303258
positive,188.9454545,1159.090909,2.0242,394.95,0.543338,0.812654,5.577272727,1142.18,15.01,0.000240628,-0.017719569,-0.011428013,-0.002273588,-0.004477978,-0.00807185,-0.004058442,0.018712094,-0.079141104
neutral,188.9909091,1138.181818,1.9754,382.3,0.551003,0.829643,5.554545455,1132.01,15.05,0.00024057,-0.018039216,-0.02410829,-0.032029371,0.014107241,0.020905576,-0.00407498,-0.008904026,0.00266489
neutral,189.0363636,1117.272727,1.9338,394.6,0.545266,0.824893,5.531818182,1134.41,14.31,0.000240512,-0.018370607,-0.021059026,0.032173686,-0.010411922,-0.005725354,-0.004091653,0.002120123,-0.049169435
neutral,189.0818182,1096.363636,1.9158,396.75,0.546814,0.820823,5.509090909,1136.2,15.47,0.000240454,-0.018714402,-0.009308098,0.005448555,0.002838981,-0.004933973,-0.004108463,0.001577913,0.081062194
negative,189.1477273,1096.590909,1.8994,398.4,0.546141,0.813178,5.493181818,1116.21,16.25,0.000348574,0.000207297,-0.008560393,0.00415879,-0.001230766,-0.009313823,-0.002887789,-0.017593733,0.050420168
neutral,189.2272727,1110.909091,1.9192,404.25,0.53663,0.805838,5.481818182,1115.14,14.46,0.000420547,0.013056995,0.010424345,0.014683735,-0.017414917,-0.009026314,-0.00206868,-0.000958601,-0.110153846
neutral,189.3068182,1125.227273,1.9234,405.5,0.534748,0.803962,5.470454545,1108.67,14.17,0.00042037,0.012888707,0.002188412,0.003092146,-0.003507072,-0.002328011,-0.002072968,-0.005801962,-0.020055325
negative,189.3863636,1139.545455,1.9016,392.25,0.544034,0.824144,5.459090909,1094.83,16.55,0.000420193,0.012724702,-0.011334096,-0.032675709,0.017365189,0.025103177,-0.002077275,-0.012483426,0.16796048
neutral,189.4659091,1153.863636,1.8858,390.6,0.547646,0.830281,5.447727273,1099.69,16.03,0.000420017,0.012564819,-0.008308793,-0.004206501,0.006639291,0.007446514,-0.002081599,0.004439045,-0.03141994
negative,189.5454545,1168.181818,1.8766,399.05,0.54318,0.814745,5.436363636,1079.04,17.47,0.00041984,0.012408903,-0.004878566,0.021633385,-0.008154903,-0.018711737,-0.002085941,-0.018778019,0.089831566
neutral,189.625,1182.5,1.8768,401.45,0.543036,0.808889,5.425,1081.71,17.02,0.000419664,0.012256809,0.000106576,0.006014284,-0.000265105,-0.007187525,-0.002090301,0.002474422,-0.025758443
positive,189.7045455,1196.818182,1.8804,406.9,0.551833,0.819244,5.413636364,1096.19,15.33,0.000419488,0.012108399,0.001918159,0.013575788,0.016199663,0.012801509,-0.00209468,0.013386213,-0.099294947
neutral,189.7840909,1211.136364,1.8628,408.1,0.557444,0.830646,5.402272727,1104.24,15.29,0.000419312,0.01196354,-0.009359711,0.002949128,0.010167931,0.013917709,-0.002099076,0.007343617,-0.002609263
positive,189.9818182,1230.545455,1.8492,401.8,0.561954,0.828894,5.418181818,1121.3,14.07,0.001041854,0.016025521,-0.007300837,-0.015437393,0.008090499,-0.002109202,0.002944889,0.01544954,-0.079790713
neutral,190.2090909,1251.227273,1.85,403.5,0.556742,0.816094,5.440909091,1128.33,13.56,0.001196287,0.016807033,0.00043262,0.004230961,-0.00927478,-0.015442264,0.004194631,0.006269509,-0.036247335
neutral,190.4363636,1271.909091,1.8762,405.45,0.559359,0.821524,5.463636364,1129.3,13.66,0.001194857,0.016529226,0.014162162,0.004832714,0.004700561,0.006653645,0.004177109,0.000859678,0.007374631
negative,190.6636364,1292.590909,1.9212,410.3,0.55331,0.813879,5.486363636,1110.06,13.83,0.001193431,0.016260453,0.02398465,0.011962018,-0.010814164,-0.009305875,0.004159734,-0.017037103,0.012445095
positive,190.8857143,1293,1.949,414.25,0.559005,0.811132,5.49047619,1134.48,13.95,0.001164763,0.000316489,0.014470123,0.009627102,0.010292603,-0.003375195,0.000749596,0.021998811,0.00867679
negative,191.1,1263,2.0014,418.2,0.556903,0.806854,5.466666667,1121.84,15.05,0.001122586,-0.023201856,0.026885582,0.009535305,-0.003760253,-0.005274111,-0.004336513,-0.011141668,0.078853047
